epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
87,0.9918869845716405,0.0028947809521045306,0.921528217640382,0.02971713700925954,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
88,0.9919193718374651,0.002879702056818066,0.9209784296784876,0.03012425090886296,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
89,0.9919335412969619,0.0028953448495664395,0.9214735603576205,0.029816311024096945,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
90,0.9920772598949236,0.002841642953321792,0.9209430632014067,0.030057505715118216,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
91,0.9921339376252888,0.002836606865071924,0.9211906285409732,0.03003628495569812,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
92,0.9920226063042518,0.002854373270442228,0.9216793289515458,0.02994905985041538,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
93,0.9920934535385136,0.0028240497537274814,0.9209302026642865,0.029791092015208725,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
94,0.9922290752813803,0.002806270079605922,0.9201457098999462,0.030384586627295564,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
95,0.9921541796686764,0.0028025976075498446,0.9214253333434193,0.02996395773023092,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
96,0.9921622764793714,0.0027985805157453273,0.9209076967243258,0.030242365348639697,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
97,0.992223002676134,0.0027668960489529333,0.9206569162504794,0.02998146619621451,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
98,0.9922250268491274,0.002768739554132939,0.9220683601994359,0.029021815314844008,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
99,0.9921764459183572,0.0027666367917925125,0.9204415022537138,0.029724567888963476,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
0,0.9186431346224114,0.02985219993000641,0.8727899970742278,0.05192209643018543,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
1,0.8914722248385121,0.04001690435439462,0.8704300885126467,0.04885208145382791,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
2,0.9447634817299042,0.02133066593628041,0.7390082596799655,0.1287212615109263,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
3,0.961534023874418,0.014555774831920838,0.8729829051310328,0.04617033078998017,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
4,0.9633659297645207,0.0142940060408279,0.8815769590534069,0.030531327250436596,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
5,0.9640845226996737,0.013743773228879408,0.9166154924604147,0.02820043149597736,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
6,0.9856908916596977,0.006151682153194779,0.9156702429820703,0.029400056118766674,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
7,0.9872819171424201,0.005399151211147563,0.9159210234559169,0.029885125838315003,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
8,0.9648618176244516,0.0141943138054404,0.9163197001066471,0.028633754449318014,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
9,0.9651229401375965,0.012221108182294178,0.8732915580219208,0.04715562575493532,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
10,0.9596474643773555,0.015526839784946593,0.9163968633293691,0.027876601212576072,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
11,0.9853326073285678,0.006714473470305874,0.9147892961893275,0.028882308400554706,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
12,0.9870309156778743,0.00560493663481516,0.9149179015605309,0.029982586960878018,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
13,0.9873466917176249,0.005198204283951618,0.9149275469633711,0.03055367157325489,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
14,0.9875126765857782,0.004978331686339057,0.914805371860728,0.03017882739987255,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
15,0.9877636780827794,0.004780355669566275,0.9147989415921678,0.029608496878036003,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
16,0.9880592120791424,0.004586716809676909,0.9175543116701991,0.0298950062233577,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
17,0.9884519079140012,0.004341251606448215,0.9174964392531576,0.027605483684288418,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
18,0.9728554049510008,0.01089022426202848,0.8754167617810558,0.033183887879035805,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
19,0.9819805230721276,0.0073638865305845,0.9172360133764709,0.029968506641681363,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
20,0.9872454814878978,0.005223652378798881,0.9175350208645185,0.029338083008345867,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
21,0.9776790865140313,0.008796421342206165,0.8729057419083108,0.048342777971408006,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
22,0.9767965329392182,0.009697002899074799,0.9144356314185184,0.030657196439890393,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
23,0.9815959240351747,0.007498953963149844,0.8729539689225121,0.04730004308866637,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
24,0.9745132291819212,0.008768129906349825,0.914728208638006,0.03156431031214023,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
25,0.9871928521129303,0.004939094278968772,0.9159531747987176,0.030961064696410554,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
26,0.9874559988443131,0.004714774366763717,0.9151075944830558,0.030296991456917832,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
27,0.9877353391851414,0.004376497085399022,0.915114024751616,0.029553623144792856,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
28,0.988229245325738,0.0041071927963988305,0.9161396525869625,0.029324830980247806,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
29,0.9885875296901678,0.003909129007083147,0.9175928932815601,0.027804489551212504,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
30,0.9890348790618876,0.0037708676730703015,0.9168727032028214,0.029214086591560835,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
31,0.9892879047421375,0.003654132605929625,0.9162168158096845,0.028920969757772825,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
32,0.9895085431479965,0.0035795070044400967,0.9166926556831367,0.028811345839483735,494021,4,mse,nadam,tanh,2,256,1024,0.6,CuDNNGRU,minmaxscaler11
