param,value,min_mean_val_loss
0.024462900308562928,encoder,minmaxscaler11
0.0249022195361376,optimizer,nadam
0.02503806882073583,activation_fct,tanh
0.025541397346771567,layer_nb,2
0.023277913378180515,unit_nb,256
0.023247899726673328,dropout,0.5
0.02409254438713654,batch_size,1024
