epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
89,0.999087083342611,0.0003047493962999156,0.9243736114228724,0.02979312551765391,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
90,0.9990445750281871,0.0003277992736400879,0.925746473760468,0.02925416651405201,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
91,0.9991235190295885,0.00028658265131459006,0.9257496888947481,0.029413513891224864,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
92,0.999095180164406,0.00030347365823361633,0.9244475595113144,0.030309153076546507,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
93,0.999095180164406,0.00030842911412081445,0.924354320617192,0.029989634449211967,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
94,0.999012187718807,0.000332123689325158,0.9259200910115926,0.02920633727901981,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
95,0.9989696794265831,0.00035160673137220474,0.9257207526862273,0.029309110729354704,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
96,0.9991559063167686,0.0002814819137681759,0.9240424525920239,0.02922892287222087,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
97,0.9991397126731786,0.0002904842511463338,0.9241035401433455,0.029074709777775428,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
98,0.9992287777240239,0.0002582313559681325,0.9238431142666588,0.029101519075643626,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
99,0.9992854554765891,0.0002549850631892386,0.9284568319585782,0.027306658428431933,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
0,0.9655723137045096,0.015079721247364754,0.9077095704492012,0.03520794102307113,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
1,0.9583499487069027,0.014044015601985262,0.908162904382693,0.035485844397023854,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
2,0.9758775436552275,0.008757127452439853,0.9077931639404834,0.03536836213610885,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
3,0.9778470955671227,0.007297020962564463,0.9084072545879793,0.03511709261310325,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
4,0.9776871833580264,0.007335361264141079,0.9072465911128692,0.03640923102194129,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
5,0.9794988472252524,0.0063641129961479964,0.907931414714527,0.03368972642352996,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
6,0.988482270985477,0.003975325017478896,0.9124390329752036,0.03336685454626983,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
7,0.992629867949134,0.0027877383359350464,0.9192969143946211,0.031214000142913898,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
8,0.8854906977528809,0.02599953087578799,0.7928681890989091,0.059045108105926815,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
9,0.9763815708017124,0.008455901578314063,0.9107543026124401,0.033962121752209695,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
10,0.9901785551728902,0.0036144836409620603,0.9194994678542664,0.030186107098034626,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
11,0.9919234202586181,0.0031052859989343607,0.9162521822313823,0.031937746540082884,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
12,0.9832031431631763,0.00605380062471905,0.9121432406214359,0.031183271519452417,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
13,0.9926318921878827,0.002814588997450083,0.9230232550252375,0.03013063916496249,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
14,0.9934861068650579,0.002466021814627734,0.92311970905364,0.02955168825255518,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
15,0.9937775924385788,0.0023288237196864635,0.9229911036824368,0.02961436877892706,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
16,0.993767471444635,0.0023474383799277692,0.9229171555939948,0.03014607076948964,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
17,0.995856451435296,0.0015427050470358914,0.9262416044396008,0.02713263334646182,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
18,0.9981944087286094,0.0006610359151849163,0.9245247227340364,0.027870835077154633,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
19,0.9977733739952681,0.000763966181358349,0.9224670367947831,0.028632936214641653,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
20,0.9979636492963513,0.0007218086843115588,0.924897678310526,0.027957730623366213,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
21,0.9982490622757259,0.0006391646379152478,0.923081127442279,0.02903928891961581,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
22,0.9983624177697562,0.000605730310505749,0.9230329004280778,0.028715153517990605,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
23,0.9978583906352159,0.00077092514331972,0.9247980091478435,0.028174843834214088,494021,4,mse,nadam,tanh,2,256,1024,0.2,CuDNNLSTM,standarscaler
