epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
94,0.9949374621940161,0.0017264646277596139,0.9215024965661412,0.028808705596003615,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
95,0.9949556800430549,0.0016964708723179595,0.923846329456322,0.028724918862229897,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
96,0.9947896951638014,0.0017381788499890548,0.919441595492608,0.02896895157524014,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
97,0.9949455590158112,0.001686541868186398,0.9210395172298093,0.02922739678631367,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
98,0.9950143819686135,0.0016813187324734786,0.9211166804525313,0.029193774654696185,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
99,0.9950285514178547,0.0016815153160548405,0.9208530394415645,0.028670517893835606,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
0,0.9510466154144903,0.0211358447553117,0.8738542065209354,0.04854565757273927,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
1,0.972616548697792,0.010482855952928695,0.8736420076584499,0.04470895521803737,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
2,0.9776973043861147,0.007904426847431428,0.9168244761886202,0.029199029395526318,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
3,0.9848589432638143,0.005645560947578475,0.915425892776784,0.028410038909259572,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
4,0.9863588794688872,0.005009813167971098,0.8800658459417678,0.030259301557987443,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
5,0.986862906658083,0.0047497192616457705,0.916740882697338,0.027405340572150248,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
6,0.9876462741453962,0.004510488831044865,0.917628259758641,0.027173615124184404,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
7,0.9881988822218066,0.004337833456705697,0.9235762581767949,0.026981316310751395,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
8,0.9884741741850375,0.004237565715315371,0.9176861321756825,0.026839997507541537,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
9,0.9885733602195711,0.004127753703957983,0.917509299790278,0.02816287307877949,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
10,0.988901281534725,0.004006351657819649,0.9150432917974541,0.02792621420530936,10p,4,mse,rmsprop,sigmoid,1,128,1024,0.4,CuDNNLSTM,standardscaler
